poet_id,nom_canonique,nom_famille,nom_variantes,holdouts,anth_Buk_Vang_1972,streets_inside_1978,poetry_loves_poetry_1985,invocation_LA_1989,grand_passion_1995,stand_up_1990,stand_up_2002,leimert_park_2006,wide_awake_2015,cross_strokes_2015,coiled_serpent_2016,leimert_park_redux_2017,workshop_beyond_baroque_2018,lapl_list,laureat,mohr_blog_absents
175,Sesshu Foster,Foster,,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,,0
176,Mariana Franco,Franco,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
177,Amelie Frank,Frank,Amélie Frank,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,,0
178,Angela M. Franklin,Franklin,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
179,Elliot Fried,Fried,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,0
180,Gene Frumkin,Frumkin,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
181,George Fuller,Fuller,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
182,Sol Funerol,Funerol,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
183,Kate Gale,Gale,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,0
184,Lucia Galloway,Galloway,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
185,Manazar Gamboa,Gamboa,,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,1
186,Ramon Garcia,Garcia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1
187,Jerry Garcia,Garcia,,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,0
188,Richard Garcia,Garcia,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,1
189,Nicolai Garcia,Garcia,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
190,Margaret Elysia Garcia,Garcia,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
191,Frank X. Gaspar,Gaspar,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0
192,Marisa Urrutia Gedney,Gedney,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
193,Emma Gee,Gee,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0
194,Amy Gerstler,Gerstler,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,1
195,Marsha Getzler,Getzler,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
196,Dana Gioia,Gioia,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,,0
197,Steve Goldman,Goldman,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
198,Guillermo Gomez-Pena,Gomez-Pena,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
199,Liz Gonzalez,Gonzalez,liz gonzález,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,,0
200,William A. Gonzalez,Gonzalez,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
201,Jessica Goodheart,Goodheart,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
202,Don Gordon,Gordon,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
203,Amanda Gorman,Gorman,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0
204,Gerda Govine,Govine,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,0
205,Natalie J. Graham,Graham,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orange County,0
206,Jack Grapes,Grapes,,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,,1
207,Pamela Gray,Gray,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0
208,Dorothy Randall Gray,Gray,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
209,Janet Gray,Gray,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
210,Timothy Green,Green,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
211,Sonia Greenfield,Greenfield,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0
212,Robert Greenfield,Greenfield,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
213,Ian Gregson,Gregson,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0
214,Robert Gribbin,Gribbin,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
215,S.A. Griffin,Griffin,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
216,Gronk,Gronk,Glugio Nicandro,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
217,Charles Gullans,Gullans,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
218,Joseph Hansen,Hansen,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
219,John Harris,Harris,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
220,Peter J. Harris,Harris,,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,,0
221,Hazel Clayton Harrison,Harrison,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
222,Nathan Hassall,Hassall,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malibu,0
223,Levan Hawkins,Hawkins,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0
224,Eloise Klein Healy,Healy,,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,Los Angeles,0
225,Kevin James Hearle,Hearle,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
226,Leslie Woolf Hedley,Hedley,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
227,George Herms,Herms,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
228,David Hernandez,Hernandez,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
229,Judith Hernandez,Hernandez,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
230,Gustavo Hernandez,Hernandez,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orange County,0
231,Adolfo Y. Hernandez,Hernandez,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
232,Raul Herrera,Herrera,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
233,Juan Felipe Herrera,Herrera,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
