poet_id,nom_canonique,poetry_magazine,american_poetry_review,kenyon_review,prairie_schooner
593,Bruce Williams,[],[],[],[]
594,Michael Wilson,[],[],[],[]
595,Sammy Winston,[],[],[],[]
596,Cecilia Woloch,[],[],[],[2022]
597,Sholeh Wolpe,[],[],[],[]
598,Terry Wolverton,[],[],[],"[2004, 2005, 2006]"
599,Nancy Lynee Woo,[],[],[],[]
600,Elaine Woo,[],[],[],[]
601,Gail Wronsky,[2012],[],[],[]
602,Nina Yamamoto,[],[],[],[]
603,Tina Yang,[],[],[],[]
604,Brenda Yates,[],[],[],[]
605,Peter Yates,[],[],[],[1963]
606,Ricardo Means Ybarra,[],[],[1993],[]
607,Stephen Yenser,"[1996, 2009, 2011]",[1982],[],[]
608,Sung Yol Yi,[],[],[],[]
609,Kim Young,[],[],[],[]
610,Curtis Zahn,[],[],[],[]
611,Jaha Zainabu,[],[],[],[]
612,Mariano Zaro,[],[],[],[]
